main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Larry Brilliant,418234,The case for optimism,"https://www.ted.com/talks/larry_brilliant_makes_the_case_for_optimism
",2,28,14,56,94,19,171,57,104,48,28,44,9,207
Robert Full,707524,The sticky wonder of gecko feet,"https://www.ted.com/talks/robert_full_on_animal_movement
",51,78,310,9,13,4,262,513,7,26,116,21,14,228
Ron Eglash,1527858,The fractals at the heart of African designs,"https://www.ted.com/talks/ron_eglash_on_african_fractals
",73,317,412,39,19,45,657,1137,38,102,954,51,15,365
Philippe Starck,1783740,Design and destiny,"https://www.ted.com/talks/philippe_starck_thinks_deep_on_design
",855,201,216,175,192,276,103,334,165,88,68,129,67,711
Murray Gell-Mann,1181696,"Beauty, truth and ... physics?","https://www.ted.com/talks/murray_gell_mann_on_beauty_and_truth_in_physics
",296,372,120,42,57,55,509,483,53,115,50,114,13,297
Amory Lovins,832668,Winning the oil endgame,"https://www.ted.com/talks/amory_lovins_on_winning_the_oil_endgame
",40,10,254,63,45,38,620,221,67,375,123,46,17,333
Arthur Benjamin,8360707,"A performance of ""Mathemagic""","https://www.ted.com/talks/arthur_benjamin_does_mathemagic
",2152,429,1944,182,114,168,340,3710,84,128,7196,314,151,817
Daniel Goleman,1604402,Why aren't we more compassionate?,"https://www.ted.com/talks/daniel_goleman_on_compassion
",38,233,48,111,67,39,515,246,59,255,30,140,12,830
Lakshmi Pratury,533761,The lost art of letter-writing,"https://www.ted.com/talks/lakshmi_pratury_on_letter_writing
",13,330,11,82,13,9,12,25,45,53,5,75,18,288
Gever Tulley,4364865,5 dangerous things you should let your kids do,"https://www.ted.com/talks/gever_tulley_on_5_dangerous_things_for_kids
",1210,78,422,598,70,61,960,371,238,1414,82,378,37,1035
Isabel Allende,3741423,Tales of passion,"https://www.ted.com/talks/isabel_allende_tells_tales_of_passion
",1302,1148,292,1696,58,28,447,916,82,899,426,140,63,3528
Yossi Vardi,933311,We're worried about local warming ... in your lap,"https://www.ted.com/talks/yossi_vardi_fights_local_warming
",1452,18,114,84,34,16,120,40,74,44,39,143,94,34
Deborah Gordon,928270,The emergent genius of ant colonies,"https://www.ted.com/talks/deborah_gordon_digs_ants
",41,65,154,19,61,16,868,884,10,42,74,114,4,120
J.J. Abrams,3519656,The mystery box,"https://www.ted.com/talks/j_j_abrams_mystery_box
",1512,177,406,92,150,84,453,907,84,140,185,252,80,1454
David Gallo,13926113,Underwater astonishments,"https://www.ted.com/talks/david_gallo_shows_underwater_astonishments
",815,5201,543,216,79,95,3875,8448,80,236,8328,322,126,1647
Paola Antonelli,585052,Treat design as art,"https://www.ted.com/talks/paola_antonelli_treats_design_as_art
",9,59,29,12,68,27,138,82,43,41,7,83,20,111
Frank Gehry,959382,"A master architect asks, Now what?","https://www.ted.com/talks/frank_gehry_asks_then_what
",100,49,23,14,161,30,90,68,45,8,12,139,36,127
Raul Midon,403089,"""Tembererana""","https://www.ted.com/talks/raul_midon_plays_all_the_answers_and_tembererana
",6,240,26,29,0,0,3,62,3,0,71,30,0,134
Bill Strickland,611092,"Rebuilding a neighborhood with beauty, dignity, hope","https://www.ted.com/talks/bill_strickland_makes_change_with_a_slide_show
",22,280,63,158,46,10,42,122,11,108,153,18,19,670
Bernie Dunlap,1854024,The life-long learner,"https://www.ted.com/talks/ben_dunlap_talks_about_a_passionate_life
",167,696,97,236,92,42,160,633,30,212,221,74,14,1716
David Pogue,594523,The music wars,"https://www.ted.com/talks/david_pogue_on_the_music_wars
",604,35,91,62,46,18,24,24,76,16,18,166,236,23
Alison Jackson,670863,An unusual glimpse at celebrity,"https://www.ted.com/talks/alison_jackson_looks_at_celebrity
",128,13,65,59,59,26,27,66,49,9,21,58,52,15
Chris Anderson,324266,TED's nonprofit transition,"https://www.ted.com/talks/chris_anderson_shares_his_vision_for_ted
",37,45,23,134,18,11,105,44,11,109,20,61,10,267
Robin Chase,434005,The idea behind Zipcar (and what comes next),"https://www.ted.com/talks/robin_chase_on_zipcar_and_her_next_big_idea
",6,7,136,61,42,57,162,76,157,123,28,88,40,114
Jaime Lerner,596961,A song of the city,"https://www.ted.com/talks/jaime_lerner_sings_of_the_city
",140,85,123,82,17,24,189,167,9,186,39,53,4,438
David Macaulay,700273,An illustrated journey through Rome,"https://www.ted.com/talks/david_macaulay_s_rome_antics
",92,210,109,11,124,46,71,120,27,13,44,96,16,102
Michael Pollan,1359400,A plant's-eye view,"https://www.ted.com/talks/michael_pollan_gives_a_plant_s_eye_view
",67,121,353,50,46,22,537,570,52,332,133,70,17,635
Howard Rheingold,931001,The new power of collaboration,"https://www.ted.com/talks/howard_rheingold_on_collaboration
",73,33,93,32,46,30,308,182,30,244,45,102,10,363
Pamelia Kurstin,1687185,The untouchable music of the theremin,"https://www.ted.com/talks/pamelia_kurstin_plays_the_theremin
",129,667,142,34,22,9,77,529,20,11,267,58,6,177
George Dyson,785872,The story of Project Orion,"https://www.ted.com/talks/george_dyson_on_project_orion
",202,14,36,63,21,5,196,206,19,8,79,50,7,24
Moshe Safdie,545664,Building uniqueness,"https://www.ted.com/talks/moshe_safdie_on_building_uniqueness
",10,177,49,16,33,0,75,117,33,20,29,73,12,187
Jill Sobule + Julia Sweeney,487972,The Jill and Julia Show,"https://www.ted.com/talks/the_jill_and_julia_show
",433,80,49,34,31,17,14,24,38,7,12,159,67,41
Raspyni Brothers,807628,Juggle and jest,"https://www.ted.com/talks/the_raspyni_brothers_juggle_and_jest
",1637,59,116,72,56,6,9,267,15,14,402,126,52,57
Joseph Lekuton,200726,A parable for Kenya,"https://www.ted.com/talks/joseph_lekuton_tells_a_parable_for_kenya
",0,45,8,108,0,1,37,36,12,43,10,33,4,183
Steve Jurvetson,412154,Model rocketry,"https://www.ted.com/talks/steve_jurvetson_on_model_rocketry
",89,66,37,25,2,2,80,191,13,18,70,67,9,154
Roy Gould + Curtis Wong,1034064,A preview of the WorldWide Telescope,"https://www.ted.com/talks/roy_gould_and_curtis_wong_preview_the_worldwide_telescope
",6,330,112,23,35,14,170,357,71,26,306,72,40,209
Alan Kay,777609,A powerful idea about ideas,"https://www.ted.com/talks/alan_kay_shares_a_powerful_idea_about_ideas
",20,30,117,30,93,63,231,175,45,117,45,130,17,238
Craig Venter,1004893,On the verge of creating synthetic life,"https://www.ted.com/talks/craig_venter_is_on_the_verge_of_creating_synthetic_life
",9,33,292,71,34,33,402,583,14,73,680,30,14,239
Nicholas Negroponte,974087,"5 predictions, from 1984","https://www.ted.com/talks/nicholas_negroponte_in_1984_makes_5_predictions
",24,14,86,19,51,12,131,177,4,26,77,30,7,101
Jill Bolte Taylor,21190883,My stroke of insight,"https://www.ted.com/talks/jill_bolte_taylor_s_powerful_stroke_of_insight
",966,9437,1228,7842,398,289,5430,14447,550,1704,10464,636,356,16918
Frank Gehry,620806,My days as a young rebel,"https://www.ted.com/talks/frank_gehry_as_a_young_rebel
",40,19,16,9,76,11,32,31,7,10,10,35,9,41
Dave Eggers,1357888,My wish: Once Upon a School,"https://www.ted.com/talks/dave_eggers_makes_his_ted_prize_wish_once_upon_a_school
",480,209,452,223,24,11,133,241,8,301,215,28,8,1398
Karen Armstrong,1277619,My wish: The Charter for Compassion,"https://www.ted.com/talks/karen_armstrong_makes_her_ted_prize_wish_the_charter_for_compassion
",15,318,97,458,50,26,340,240,123,528,91,86,37,1111
Neil Turok,473165,My wish: Find the next Einstein in Africa,"https://www.ted.com/talks/neil_turok_makes_his_ted_prize_wish
",7,70,65,142,15,0,106,92,3,113,54,17,3,396
Norman Foster,763815,My green agenda for architecture,"https://www.ted.com/talks/norman_foster_s_green_agenda
",19,37,58,11,119,16,181,122,22,61,30,96,25,193
Christopher deCharms,1485761,A look inside the brain in real time,"https://www.ted.com/talks/christopher_decharms_scans_the_brain_in_real_time
",30,29,251,49,10,49,455,679,85,96,388,126,15,223
Clifford Stoll,2283491,The call to learn,"https://www.ted.com/talks/clifford_stoll_on_everything
",1243,228,432,92,126,278,177,645,86,65,362,119,195,773
Rokia Traore,294936,"""M'Bifo""","https://www.ted.com/talks/rokia_traore_sings_m_bifo
",0,522,8,20,3,14,1,105,6,14,52,71,5,113
Siegfried Woldhek,1224127,The search for the true face of Leonardo,"https://www.ted.com/talks/siegfried_woldhek_shows_how_he_found_the_true_face_of_leonardo
",28,110,282,35,1,10,307,524,65,324,197,74,7,81
David Hoffman,311741,Sputnik mania,"https://www.ted.com/talks/david_hoffman_shares_his_sputnik_mania
",8,32,6,5,0,5,124,77,7,10,8,44,10,41
Jakob Trollback,480377,A new kind of music video,"https://www.ted.com/talks/jakob_trollback_rethinks_the_music_video
",1,132,44,15,42,111,17,53,224,8,24,170,70,59
Stephen Hawking,8655723,Questioning the universe,"https://www.ted.com/talks/stephen_hawking_asks_big_questions_about_the_universe
",69,209,254,305,47,41,716,1070,86,199,304,141,48,775
Al Gore,1751426,New thinking on the climate crisis,"https://www.ted.com/talks/al_gore_s_new_thinking_on_the_climate_crisis
",58,68,87,653,120,74,1055,340,288,1175,534,137,210,1435
Johnny Lee,5483940,Free or cheap Wii Remote hacks,"https://www.ted.com/talks/johnny_lee_demos_wii_remote_hacks
",132,159,3249,89,8,15,843,1684,9,159,2368,80,14,1338
Tod Machover + Dan Ellsey,497153,Inventing instruments that unlock new music,"https://www.ted.com/talks/tod_machover_and_dan_ellsey_play_new_music
",1,204,109,87,20,16,52,168,38,16,142,31,37,240
Yochai Benkler,753974,The new open-source economics,"https://www.ted.com/talks/yochai_benkler_on_the_new_open_source_economics
",7,27,93,35,40,24,555,258,29,285,69,105,3,268
Ernest Madu,371754,World-class health care,"https://www.ted.com/talks/ernest_madu_on_world_class_health_care
",0,20,56,112,4,1,105,53,10,123,23,14,0,177
Amy Tan,2477746,Where does creativity hide?,"https://www.ted.com/talks/amy_tan_on_creativity
",560,416,172,157,273,204,304,444,148,106,59,298,43,752
Brian Greene,4119616,Making sense of string theory,"https://www.ted.com/talks/brian_greene_on_string_theory
",58,349,582,88,41,79,2050,2551,96,440,747,116,27,753
Brian Cox,3074172,CERN's supercollider,"https://www.ted.com/talks/brian_cox_on_cern_s_supercollider
",237,448,239,47,21,29,1276,1633,34,169,449,93,16,838
They Might Be Giants,362609,Wake up! It's They Might Be Giants!,"https://www.ted.com/talks/they_might_be_giants_play_at_8_30_am
",143,23,59,13,32,35,3,31,19,0,16,64,81,21
Hector Ruiz,315244,The thinking behind 50x15,"https://www.ted.com/talks/hector_ruiz_on_connecting_the_world
",10,36,19,49,66,9,93,37,23,91,8,78,2,202
Paul Stamets,4060628,6 ways mushrooms can save the world,"https://www.ted.com/talks/paul_stamets_on_6_ways_mushrooms_can_save_the_world
",18,167,1247,181,54,87,1084,1921,51,610,1479,60,25,1093
Paul Ewald,442623,Can we domesticate germs?,"https://www.ted.com/talks/paul_ewald_asks_can_we_domesticate_germs
",8,9,131,18,30,19,252,172,22,141,28,43,6,66
Michael Moschen,944836,Juggling as art ... and science,"https://www.ted.com/talks/michael_moschen_juggles_rhythm_and_motion
",80,367,267,22,117,36,35,488,32,6,453,88,26,214
Joshua Klein,2398373,A thought experiment on the intelligence of crows,"https://www.ted.com/talks/joshua_klein_on_the_intelligence_of_crows
",643,122,977,41,13,6,925,1846,16,312,642,82,14,676
Alisa Miller,1888717,How the news distorts our worldview,"https://www.ted.com/talks/alisa_miller_shares_the_news_about_the_news
",135,26,100,199,16,24,1219,340,94,567,363,167,46,194
Mark Bittman,3830672,What's wrong with what we eat,"https://www.ted.com/talks/mark_bittman_on_what_s_wrong_with_what_we_eat
",194,70,102,389,110,37,2217,505,183,1914,305,210,92,1425
Robert Ballard,1281570,The astonishing hidden world of the deep ocean,"https://www.ted.com/talks/robert_ballard_on_exploring_the_oceans
",39,118,70,70,7,5,366,704,4,332,557,25,20,623
Yves Behar,1109822,Designing objects that tell stories,"https://www.ted.com/talks/yves_behar_on_designing_objects_that_tell_stories
",124,143,193,34,59,19,187,175,51,84,44,140,24,444
Arthur Ganson,672113,Moving sculpture,"https://www.ted.com/talks/arthur_ganson_makes_moving_sculpture
",119,489,383,27,13,5,35,370,7,8,140,42,12,320
Seyi Oyesola,230569,A hospital tour in Nigeria,"https://www.ted.com/talks/dr_seyi_oyesola_tours_a_hospital_in_nigeria
",5,6,19,37,13,16,66,24,19,30,7,27,14,70
Paul Collier,990220,"The ""bottom billion""","https://www.ted.com/talks/paul_collier_shares_4_ways_to_help_the_bottom_billion
",10,22,67,116,36,18,410,117,31,443,34,58,17,330
Susan Blackmore,735638,"Memes and ""temes""","https://www.ted.com/talks/susan_blackmore_on_memes_and_temes
",48,45,253,136,89,118,405,652,313,248,197,121,68,186
Nathan Myhrvold,437132,"Archeology, animal photography, BBQ ...","https://www.ted.com/talks/nathan_myhrvold_on_archeology_animal_photography_bbq
",273,22,45,23,31,10,81,157,27,9,23,70,116,170
Rokia Traore,82488,"""Kounandi""","https://www.ted.com/talks/rokia_traore_sings_kounandi
",1,330,6,22,7,8,0,84,8,0,31,30,4,100
Wade Davis,984223,The worldwide web of belief and ritual,"https://www.ted.com/talks/wade_davis_on_the_worldwide_web_of_belief_and_ritual
",2,256,25,101,90,43,315,512,61,142,153,51,43,448
Murray Gell-Mann,785293,The ancestor of language,"https://www.ted.com/talks/murray_gell_mann_on_the_ancestor_of_language
",18,13,18,6,12,11,104,78,65,28,7,131,12,30
George Dyson,838799,The birth of the computer,"https://www.ted.com/talks/george_dyson_at_the_birth_of_the_computer
",131,38,41,10,41,31,411,319,28,10,55,67,8,100
Chris Jordan,1520108,Turning powerful stats into art,"https://www.ted.com/talks/chris_jordan_pictures_some_shocking_stats
",13,232,307,389,75,11,764,565,108,703,509,123,73,831
Dean Ornish,1384333,Your genes are not your fate,"https://www.ted.com/talks/dean_ornish_says_your_genes_are_not_your_fate
",65,13,39,20,2,11,571,225,22,248,44,81,1,257
Robert Full,799797,Robots inspired by cockroach ingenuity,"https://www.ted.com/talks/robert_full_on_engineering_and_evolution
",82,49,276,4,11,9,255,495,4,47,265,28,3,221
Adam Grosser,857181,A mobile fridge for vaccines,"https://www.ted.com/talks/adam_grosser_and_his_sustainable_fridge
",10,13,682,17,0,15,224,211,21,62,118,51,3,163
Steven Levitt,749952,Surprising stats about child carseats,"https://www.ted.com/talks/steven_levitt_on_child_carseats
",11,7,66,112,57,23,307,86,80,208,27,64,24,16
Benjamin Zander,9315483,The transformative power of classical music,"https://www.ted.com/talks/benjamin_zander_on_music_and_passion
",1960,5967,900,396,47,37,639,2736,36,1291,1303,143,28,8108
Nicholas Negroponte,398643,"One Laptop per Child, two years on","https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child_two_years_on
",3,21,28,50,11,4,89,55,10,80,19,25,7,171
Nellie McKay,680591,"""Clonie""","https://www.ted.com/talks/nellie_mckay_sings_clonie_1
",370,134,51,19,5,14,1,32,27,3,12,104,26,20
Sxip Shirey + Rachelle Garniez,217663,"A performance with breath, music, passion","https://www.ted.com/talks/sxip_shirey_at_the_breathing_place
",19,41,44,21,13,54,0,57,38,2,36,62,97,20
Peter Diamandis,497899,Stephen Hawking's zero g flight,"https://www.ted.com/talks/peter_diamandis_on_stephen_hawking_in_zero_g
",68,216,12,121,0,0,18,77,11,13,45,40,2,264
Rick Smolan,1123955,The story of a girl,"https://www.ted.com/talks/rick_smolan_tells_the_story_of_a_girl
",24,817,11,344,22,9,37,386,12,14,157,24,23,650
Raul Midon,327542,"""Peace on Earth""","https://www.ted.com/talks/raul_midon_plays_everybody_and_peace_on_earth
",0,243,27,16,3,5,0,48,8,8,65,18,4,150
Corneille Ewango,368974,A hero of the Congo forest,"https://www.ted.com/talks/corneille_ewango_is_a_hero_of_the_congo_forest
",2,23,6,175,4,9,50,42,3,20,21,8,0,136
Torsten Reil,325148,Animate characters by evolving them,"https://www.ted.com/talks/torsten_reil_studies_biology_to_make_animation
",44,14,150,0,18,0,79,179,11,6,64,32,5,42
David Hoffman,920941,What happens when you lose everything,"https://www.ted.com/talks/david_hoffman_on_losing_everything
",6,65,15,224,39,91,36,36,112,29,23,205,53,250
Clay Shirky,1097533,Institutions vs. collaboration,"https://www.ted.com/talks/clay_shirky_on_institutions_versus_collaboration
",22,20,136,43,31,27,514,373,20,355,88,47,5,249
Nellie McKay,1013879,"""Mother of Pearl,"" ""If I Had You""","https://www.ted.com/talks/nellie_mckay_sings_feminists_and_if_i_had_you
",476,383,95,60,8,7,3,53,7,20,54,48,26,79
Freeman Dyson,895199,Let's look for life in the outer solar system,"https://www.ted.com/talks/freeman_dyson_says_let_s_look_for_life_in_the_outer_solar_system
",82,50,115,52,83,23,109,252,112,46,38,70,18,221
Helen Fisher,4883112,The brain in love,"https://www.ted.com/talks/helen_fisher_studies_the_brain_in_love
",202,639,144,50,154,55,1157,1063,131,253,92,347,35,499
Billy Graham,1532675,On technology and faith,"https://www.ted.com/talks/billy_graham_on_technology_faith_and_suffering
",71,420,56,470,122,25,163,294,356,411,148,109,158,1090
AJ Jacobs,2291701,My year of living biblically,"https://www.ted.com/talks/a_j_jacobs_year_of_living_biblically
",936,50,250,345,105,52,376,531,150,130,45,219,116,422
Keith Barry,13327101,Brain magic,"https://www.ted.com/talks/keith_barry_does_brain_magic
",1819,208,803,206,79,273,137,2555,505,252,3715,336,161,267
Martin Seligman,4190393,The new era of positive psychology,"https://www.ted.com/talks/martin_seligman_on_the_state_of_psychology
",75,173,166,89,96,34,1094,708,60,609,120,202,24,1244
Marisa Fick-Jordan,294961,The wonder of Zulu wire art,"https://www.ted.com/talks/marisa_fick_jordan_shares_the_wonder_of_zulu_wire_art
",0,81,18,10,2,3,38,23,11,3,0,32,9,54
Chris Abani,843859,On humanity,"https://www.ted.com/talks/chris_abani_muses_on_humanity
",127,591,16,491,19,11,45,126,8,44,135,40,5,672
Louise Leakey,656400,A dig for humanity's origins,"https://www.ted.com/talks/louise_leakey_digs_for_humanity_s_origins
",16,55,10,24,30,22,285,206,44,75,28,86,16,109
Jonathan Harris,855052,The web as art,"https://www.ted.com/talks/jonathan_harris_collects_stories
",21,321,146,47,24,8,55,260,21,9,55,39,15,336
Reed Kroloff,282994,A tour of modern architecture,"https://www.ted.com/talks/reed_kroloff_on_modern_and_romantic_architecture
",33,48,18,8,22,25,71,37,38,12,13,48,33,43
