main_speaker,views,city,country,continent,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Jamie Bartlett,2061368,City of Westminster,United Kingdom,Europe,170,39,115,73,8,20,1057,601,13,151,163,48,3,104
Robin Morgan,1004539,London,United Kingdom,Europe,14,245,3,91,6,5,9,26,1,4,15,28,4,109
Taiye Selasi,2141928,City of Westminster,United Kingdom,Europe,14,504,248,114,32,26,338,388,30,273,39,66,13,1128
Andreas Ekström,1396735,Bergen,Norway,Europe,13,19,51,92,13,10,463,147,20,187,41,46,20,144
Ann Morgan,1446267,London,United Kingdom,Europe,26,178,66,37,18,11,212,234,5,122,12,71,16,548
Guillaume Néry,857839,Nice,France,Europe,7,195,9,84,6,6,121,261,2,11,78,46,5,220
Alison Killing,1453242,Newcastle upon Tyne,United Kingdom,Europe,69,24,16,17,12,23,224,61,12,18,6,86,6,12
António Guterres,1117165,Lisbon,Portugal,Europe,10,33,5,91,4,11,213,31,28,112,8,39,12,147
Ole Scheeren,2079266,Karlsruhe,Germany,Europe,10,256,212,36,12,9,174,390,17,40,32,44,6,342
David Gruber,1853424,Ostrava,Czech Republic,Europe,9,215,21,11,4,10,276,333,7,17,87,9,4,74
Auke Ijspeert,1805637,Geneva,Switzerland,Europe,13,31,94,14,6,7,167,120,2,16,34,49,7,71
Linda Liukas,1617536,Helsinki,Finland,Europe,129,331,66,69,38,31,139,190,42,63,14,89,27,501
Jocelyne Bloch,2152900,Geneva,Switzerland,Europe,10,59,172,44,6,12,444,448,1,35,117,47,4,218
Raffaello D'Andrea,2560359,Pordenone,Italy,Europe,26,278,319,26,16,8,468,676,9,25,366,98,8,318
Alexander Betts,823110,Bristol,United Kingdom,Europe,8,61,81,209,15,18,392,59,79,250,20,30,29,477
Arthur Brooks,1132964,East Suffolk,United Kingdom,Europe,23,39,29,99,19,16,163,61,82,150,14,60,24,354
Linus Torvalds,2399273,Helsinki,Finland,Europe,206,129,119,115,58,18,539,363,4,54,30,107,5,682
Astro Teller,2300106,Cambridge,United Kingdom,Europe,15,16,170,117,9,11,190,208,18,83,40,81,16,565
Chris Anderson,2952041,City of Westminster,United Kingdom,Europe,39,95,111,33,12,18,902,266,25,416,23,179,14,539
Alice Rawsthorn,914011,Manchester,United Kingdom,Europe,7,19,29,4,12,4,94,70,12,38,5,54,7,61
Andrew Pelling,1191591,Wolverhampton,United Kingdom,Europe,159,19,359,30,6,2,133,323,7,22,125,28,4,230
Brian Little,4235594,Newcastle upon Tyne,United Kingdom,Europe,1696,348,330,149,35,24,1274,1228,32,309,78,214,17,825
Alexander Betts,2432449,Bristol,United Kingdom,Europe,30,152,72,234,53,41,1283,245,298,709,55,119,146,1170
Martin Reeves,1677142,Birmingham,United Kingdom,Europe,16,36,143,23,19,6,393,156,12,167,23,56,4,281
