main_speaker,views,speaker_occupation,cluster
Hans Rosling,1738069,Global health expert; data visionary,Health and Medicine
Magnus Larsson,666784,Dune architect,Architecture and Design
Mallika Sarabhai,481834,"Dancer, actor, activist",Arts and Entertainment
Shashi Tharoor,1437808,Politician and writer,Public Policy and Governance
Anupam Mishra,833308,Environmental activist,Environment and Sustainability
Rory  Bremner,1112000,Comedian,Arts and Entertainment
Thulasiraj Ravilla,297107,Vision activist,Social Activism and Human Rights
Loretta Napoleoni,639995,Macroeconomist,Business and Economics
Alexis Ohanian,2066733,Entrepreneur,Business and Economics
Charles Anderson,553253,Marine biologist,Physical and Earth Sciences
Shaffi Mather,497172,"Social entrepreneur, lawyer",Business and Economics
Asher Hasan,415223,Social entrepreneur,Business and Economics
Michael Sandel,393459,Political philosopher,Philosophy and Thought Leadership
Cat Laine,154698,Social entrepreneur,Business and Economics
Vilayanur Ramachandran,1939385,Brain expert,Science and Technology
Dan Buettner,3157446,"Longevity coach, explorer",Philosophy and Thought Leadership
Randy Pausch,564781,Professor,Education and Academia
Robert Sapolsky,572845,"Neuroscientist, primatologist, writer",Science and Technology
Matt Weinstein,149818,Motivational speaker,Philosophy and Thought Leadership
Kiran Sethi,1417163,Educator,Education and Academia
Lalitesh Katragadda,359942,Engineer,Science and Technology
Edwidge Danticat,50443,Author,Education and Academia
Charles Fleischer,1055904,"Comedian, voice artist",Arts and Entertainment
David Blaine,15601385,"Illusionist, endurance artist",Arts and Entertainment
Richard Dawkins,318423,Evolutionary biologist,Physical and Earth Sciences
Taylor Mali,676741,Slam poet,Creative Writing and Storytelling
Joshua Prince-Ramus,717531,Architect,Architecture and Design
Eve Ensler,1224278,"Playwright, activist",Arts and Entertainment
Jane Chen,702550,Social entrepreneur,Business and Economics
Derek Sivers,2835976,Entrepreneur,Business and Economics
JK Rowling,1406151,Author,Education and Academia
Sendhil Mullainathan,495585,Behavioral economist,Business and Economics
Jamie Heywood,528451,Healthcare revolutionary,Interdisciplinary and Emerging Fields
David Agus,696319,Cancer Doctor,Health and Medicine
Peter Eigen,741625,"Founder, Transparency International",Technology Visionaries and Innovators
Jamie Oliver,7638978,"Chef, activist",Social Activism and Human Rights
Blaise Agüera y Arcas,1718568,Software architect,Architecture and Design
David Cameron,656762,Politician,Public Policy and Governance
Aimee Mullins,2054164,Athlete and actor,Arts and Entertainment
Bill Gates,4329332,Philanthropist,Philanthropy and Social Change
Kevin Kelly,540897,Digital visionary,Science and Technology
Philip K. Howard,610454,Legal activist,Social Activism and Human Rights
Temple Grandin,4375111,"Livestock handling designer, autism activist",Social Activism and Human Rights
Pawan Sinha,840223,Visual neuroscientist,Science and Technology
Raghava KK,674090,Artist,Arts and Entertainment
Bobby McFerrin,3302312,Musician,Arts and Entertainment
Daniel Kahneman,3841631,Behavioral economics founder,Technology Visionaries and Innovators
Gary Flake,654080,Technologist,Science and Technology
Richard Feynman,521974,Physicist,Physical and Earth Sciences
Tim Berners-Lee,680486,Inventor,Science and Technology
Gary Vaynerchuk,757791,Entrepreneur,Business and Economics
Mark Roth,708408,"Biochemist, cell biologist",Physical and Earth Sciences
Eric Dishman,384626,Social scientist,Science and Technology
